K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,4989.5768072081555,,0.15220181263804072,2.3182956382013824,256.5737508733062,0.0361090526770398,0.44193718689598166,0.03541733080555951,0.4270196877121521
3,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,4370.273539672776,,0.15655309264925205,2.032720168827593,250.5220704789854,0.031029424283359246,0.3709364259641448,0.03738038763485768,0.439918533604888
4,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,4078.2999484932693,,0.13359700137914746,2.2473944448548773,213.90608816815032,0.020534380017459046,0.31541165032939833,0.030953233130374715,0.4480651731160896
5,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,3873.804923211059,,0.12248797282448104,2.1871090804493902,188.15717070094252,0.023083243547806616,0.28475872763272714,0.03342482040785052,0.4548540393754243
6,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,3709.5960675480874,,0.1258543417690683,2.1810584530073815,170.0694614827698,0.018134052406731972,0.2595232023629423,0.03240263860966329,0.45689069925322473
7,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,3583.885905591679,,0.12918660475771412,2.2167384003785755,155.1661122256039,0.015765613738080688,0.24496601398726378,0.032194682628893086,0.4684317718940937
8,euclidean,Robust_PCA_0.99,K-Means++_PCA_0_99,3458.880506954364,,0.1278127789233677,2.1360225030684425,145.2758560084302,0.015991579427245467,0.22786246526972387,0.031655835469189646,0.4684317718940937
2,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,43994.7996510966,,0.13374638638257363,2.3486949797841152,248.2188485796769,0.040025963469756384,0.4445616884155055,0.037701058219320814,0.4270196877121521
3,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,40134.36831864889,,0.13241556251715234,2.0530301557016006,246.3819851365718,0.026497638431683332,0.3689052706835635,0.03453011198533931,0.4317718940936864
4,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,37199.30201853259,,0.14178595828797927,2.375431815611291,193.19170224555324,0.01731070812179535,0.31731054069623144,0.03266117271780956,0.4453496266123557
5,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,34929.82091200717,,0.13037332431074514,2.3183368878862667,171.47873594287944,0.019063984502721145,0.2826373404501886,0.029826158922472062,0.45213849287169044
6,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,32913.85817639797,,0.13813563924135047,2.1974337772281083,159.34712160330372,0.01538399679191966,0.26601994229961934,0.03420343161947738,0.45078071961982347
7,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,31415.617356461415,,0.15245769224153966,2.1875645089509144,147.24549851706954,0.01333501543859128,0.24695391202665903,0.03209550574065972,0.45349626612355737
8,manhattan,Robust_PCA_0.99,K-Means++_PCA_0_99,30280.419978817743,,0.15635593395449995,2.303845883797454,132.6442363465004,0.006624940576636264,0.23030389003152232,0.030810639389867,0.44738628649015616
2,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,604.6741680969023,,0.26649876278525697,2.324085375378722,256.499469360205,0.034021449960840604,0.44053232870476305,0.03431055100071663,0.4270196877121521
3,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,428.62043960457896,,0.2576742004046147,2.0670080594612212,248.0216458316511,0.029459911634426995,0.36518394238213725,0.03737154609284124,0.4439918533604888
4,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,348.0708052984071,,0.24340624582520484,2.1997047603429656,212.21218753783123,0.018342294378158187,0.3121408766868496,0.030008980916536806,0.4439918533604888
5,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,298.3922865494153,,0.2515463419186066,2.124269276851944,185.6408937027246,0.011899392018377137,0.2824638946904556,0.027075784122668332,0.44331296673455534
6,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,260.28208455229276,,0.2551968524043467,2.078226682606594,168.04011270387338,0.01237228462229699,0.2631501600622965,0.02909067753028285,0.4453496266123557
7,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,239.9364146175462,,0.25803672029472985,2.0348064620497412,155.4190728626983,0.015444044178411399,0.24583420776468434,0.033294694707832716,0.451459606245757
8,cosine,Robust_PCA_0.99,K-Means++_PCA_0_99,220.59897471986622,,0.25307639915123165,2.043479146963964,144.996448463434,0.007654361386917902,0.22374421092047295,0.025899123416908525,0.4426340801086219
