Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
cmc,25,euclidean,auto,1.5,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,euclidean,brute,1.5,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,manhattan,auto,1.5,MinMax,0.5699420964498372,0.7325436357690478,243.5612544796532,0.0035124497580054075,0.4110576923076923,0.18937504731427215,0.02243504574908266,10
cmc,25,manhattan,brute,1.5,MinMax,0.5699420964498372,0.7325436357690478,243.5612544796532,0.0035124497580054075,0.4110576923076923,0.18937504731427215,0.02243504574908266,10
cmc,25,cosine,auto,1.5,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,cosine,brute,1.5,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,euclidean,auto,3.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,euclidean,brute,3.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,manhattan,auto,3.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,manhattan,brute,3.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,cosine,auto,3.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,cosine,brute,3.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,euclidean,auto,5.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,euclidean,brute,5.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,manhattan,auto,5.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,manhattan,brute,5.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,cosine,auto,5.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,cosine,brute,5.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,euclidean,auto,7.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,euclidean,brute,7.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,manhattan,auto,7.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,manhattan,brute,7.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,cosine,auto,7.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,cosine,brute,7.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,euclidean,auto,9.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,euclidean,brute,9.0,MinMax,0.5721323298690258,0.722422059055852,258.67095298207863,0.004306798298164057,0.42436974789915966,0.17518647737737567,0.024709969514478722,12
cmc,25,manhattan,auto,9.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,manhattan,brute,9.0,MinMax,0.5677805206388463,0.7219785029111844,252.50531735896962,0.0034649970453631595,0.42217484008528783,0.17498579758555732,0.02369920666682296,12
cmc,25,cosine,auto,9.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,25,cosine,brute,9.0,MinMax,0.6338468121573205,0.6733456294815573,311.500281714829,0.0035537119121995158,0.423728813559322,0.17993065418779428,0.025127707135460576,11
cmc,35,euclidean,auto,1.5,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
