Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
pen-based,15,euclidean,auto,1.0,MinMax,0.595498958792639,0.6104682099402673,231.55265929799725,0.4236594024998556,1.0,0.6041845836609161,0.667025760880065,9
pen-based,15,euclidean,brute,1.0,MinMax,0.595498958792639,0.6104682099402673,231.55265929799725,0.4236594024998556,1.0,0.6041845836609161,0.667025760880065,9
pen-based,15,manhattan,auto,1.0,MinMax,0.24885719902771183,0.9364383193041855,1273.6757711159232,0.4848028082149488,0.646072161216363,0.5961903479988641,0.720142895961724,14
pen-based,15,manhattan,brute,1.0,MinMax,0.24885719902771183,0.9364383193041855,1273.6757711159232,0.4848028082149488,0.646072161216363,0.5961903479988641,0.720142895961724,14
pen-based,15,cosine,auto,1.0,MinMax,0.35881575050060377,0.7415392226249491,263.20192242302153,0.9319994018375256,0.9974240082431737,0.9535000674241341,0.8038580901022564,36
pen-based,15,cosine,brute,1.0,MinMax,0.35881575050060377,0.7415392226249491,263.20192242302153,0.9319994018375256,0.9974240082431737,0.9535000674241341,0.8038580901022564,36
pen-based,15,euclidean,auto,3.0,MinMax,0.595498958792639,0.6104682099402673,231.55265929799725,0.4236594024998556,1.0,0.6041845836609161,0.667025760880065,9
pen-based,15,euclidean,brute,3.0,MinMax,0.595498958792639,0.6104682099402673,231.55265929799725,0.4236594024998556,1.0,0.6041845836609161,0.667025760880065,9
pen-based,15,manhattan,auto,3.0,MinMax,0.6139247677810973,0.5879107337118675,281.4563942423251,0.497044946432119,1.0,0.6489329042549187,0.7401180194864662,9
pen-based,15,manhattan,brute,3.0,MinMax,0.6139247677810973,0.5879107337118675,281.4563942423251,0.497044946432119,1.0,0.6489329042549187,0.7401180194864662,9
pen-based,15,cosine,auto,3.0,MinMax,0.35881575050060377,0.7415392226249491,263.20192242302153,0.9319994018375256,0.9974240082431737,0.9535000674241341,0.8038580901022564,36
pen-based,15,cosine,brute,3.0,MinMax,0.35881575050060377,0.7415392226249491,263.20192242302153,0.9319994018375256,0.9974240082431737,0.9535000674241341,0.8038580901022564,36
pen-based,15,euclidean,auto,5.0,MinMax,0.595498958792639,0.6104682099402673,231.55265929799725,0.4236594024998556,1.0,0.6041845836609161,0.667025760880065,9
pen-based,15,euclidean,brute,5.0,MinMax,0.595498958792639,0.6104682099402673,231.55265929799725,0.4236594024998556,1.0,0.6041845836609161,0.667025760880065,9
pen-based,15,manhattan,auto,5.0,MinMax,0.6139247677810973,0.5879107337118675,281.4563942423251,0.497044946432119,1.0,0.6489329042549187,0.7401180194864662,9
pen-based,15,manhattan,brute,5.0,MinMax,0.6139247677810973,0.5879107337118675,281.4563942423251,0.497044946432119,1.0,0.6489329042549187,0.7401180194864662,9
pen-based,15,cosine,auto,5.0,MinMax,0.35881575050060377,0.7415392226249491,263.20192242302153,0.9319994018375256,0.9974240082431737,0.9535000674241341,0.8038580901022564,36
pen-based,15,cosine,brute,5.0,MinMax,0.35881575050060377,0.7415392226249491,263.20192242302153,0.9319994018375256,0.9974240082431737,0.9535000674241341,0.8038580901022564,36
